Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562345070.64579894">wfid_1562345070.64579894</a>,304,ILi6PS5,<a href="https://materialsproject.org/materials/mp-950995/">mp-950995</a>,<a href="https://materialsproject.org/materials/mp-985582/">mp-985582</a>,9,216,2.6,0.016,0.769,2.289
<a href="candidate.html?wfid=wfid_1562345070.86402364">wfid_1562345070.86402364</a>,269,H2O2Sr,<a href="https://materialsproject.org/materials/mp-625184/">mp-625184</a>,<a href="https://materialsproject.org/materials/mp-625191/">mp-625191</a>,26,62,1.2,0.002,0.255,3.996
<a href="candidate.html?wfid=wfid_1562345071.44504562">wfid_1562345071.44504562</a>,111,CH4N2S,<a href="https://materialsproject.org/materials/mp-721896/">mp-721896</a>,<a href="https://materialsproject.org/materials/mp-23930/">mp-23930</a>,26,62,4.8,-0.006,0.770,3.342
<a href="candidate.html?wfid=wfid_1562345071.55443872">wfid_1562345071.55443872</a>,409,OPb,<a href="https://materialsproject.org/materials/mp-550714/">mp-550714</a>,<a href="https://materialsproject.org/materials/mp-20878/">mp-20878</a>,29,57,54.3,-0.002,0.528,2.232
<a href="candidate.html?wfid=wfid_1562345071.77195440">wfid_1562345071.77195440</a>,146,CdO3Ti,<a href="https://materialsproject.org/materials/mp-20940/">mp-20940</a>,<a href="https://materialsproject.org/materials/mp-14550/">mp-14550</a>,26,62,37.2,0.003,0.122,2.463
<a href="candidate.html?wfid=wfid_1562345071.87614530">wfid_1562345071.87614530</a>,258,H2Mg,<a href="https://materialsproject.org/materials/mp-569051/">mp-569051</a>,<a href="https://materialsproject.org/materials/mp-23711/">mp-23711</a>,29,60,30.9,-0.040,0.849,2.365
<a href="candidate.html?wfid=wfid_1562345071.93467738">wfid_1562345071.93467738</a>,361,NaNbO3,<a href="https://materialsproject.org/materials/mp-558920/">mp-558920</a>,<a href="https://materialsproject.org/materials/mp-3671/">mp-3671</a>,29,57,31.5,-0.000,0.682,2.404
<a href="candidate.html?wfid=wfid_1562345072.21799631">wfid_1562345072.21799631</a>,388,O2Zr,<a href="https://materialsproject.org/materials/mp-556605/">mp-556605</a>,<a href="https://materialsproject.org/materials/mp-1565/">mp-1565</a>,29,225,51.2,0.047,0.835,3.710
<a href="candidate.html?wfid=wfid_1562345072.89491942">wfid_1562345072.89491942</a>,362,NaNbO3,<a href="https://materialsproject.org/materials/mp-558920/">mp-558920</a>,<a href="https://materialsproject.org/materials/mp-559354/">mp-559354</a>,29,63,31.5,0.022,0.493,2.404
<a href="candidate.html?wfid=wfid_1562345073.07864623">wfid_1562345073.07864623</a>,301,HfO2,<a href="https://materialsproject.org/materials/mp-685097/">mp-685097</a>,<a href="https://materialsproject.org/materials/mp-550893/">mp-550893</a>,29,225,53.4,0.060,0.863,4.377
